"","#0F4A9C","#53f1fc","#635547","#67000d","#7F6874","#8870ad","#90BF75","#9e6762","#C594BF","#DABE99","#DFCDE4","#EF5A9D","#cc7818","#d6616b","#ffad1e","#ffd854"
"Parp3",0,0,2,0,0,0,2,0,5,0,1,2,2,0,0,1
"Parp4",5,0,13,3,0,1,7,0,12,4,2,2,9,12,1,15
"Parp6",1,0,15,0,0,2,7,3,27,13,7,3,9,0,2,10
"Parp8",4,0,18,0,0,1,6,3,25,19,2,4,0,0,0,0
"Parp9",4,0,8,0,0,2,9,0,6,12,3,0,2,0,0,2
"Parpbp",2,2,15,0,4,6,14,2,36,13,7,5,6,5,1,12
"Pars2",0,1,11,0,1,0,5,1,17,7,4,1,4,0,1,4
"Particl",1,0,1,0,0,1,0,0,3,3,1,0,0,0,0,0
"Parva",4,3,14,13,1,11,19,1,55,11,9,4,31,13,2,12
"Parvb",8,14,45,1,14,41,41,3,125,26,28,29,32,0,0,12
"Parvg",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"Pask",12,1,45,0,5,5,46,1,84,30,14,11,15,1,0,15
"Pate1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pate2",0,1,3,0,0,2,1,0,3,1,0,0,4,0,0,0
"Pate3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pate4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Patl2",0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1
"Paupar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pawr",4,2,38,2,3,8,26,1,49,20,10,19,14,10,0,18
"Pax1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Pax2",0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0
"Pax3",0,2,5,0,0,1,8,0,1,1,1,0,0,0,0,0
"Pax4",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pax5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pax6os1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pax7",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
"Pax8",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"Pax9",0,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1
